"Domain Code","Domain","Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"QV","Production: Value of Agricultural Production","591","Cashewapple","Anacardium occidentale. The thickened, fleshy stem below the cashew nut. When soft it is used for jam.","","081090","081090","01359.02"
"QV","Production: Value of Agricultural Production","125","Cassava","Manioc, mandioca, yuca (Manihot esculenta, syn. M. utilissima); yuca dulce (M. palmata, syn. M. dulcis). A semi-permanent crop grown in tropical and subtropical regions. Sometimes bitter and sweet cassavas are referred to as separate species, the former being M. esculenta and the latter M. palmata, but this is incorrect since the toxicity varies according to location. Cassava is the staple food in many tropical countries. It is not traded internationally in its fresh state because tubers deteriorate very rapidly.","","071410","071410","01520.01"
"QV","Production: Value of Agricultural Production","265","Castor oil seed","Ricinus communis. Valued mainly for their oil, which is used in pharmaceutical products. Ground seedcakes are used as fertilizers (castor oil pomace).","","120799","120730","01447"
"QV","Production: Value of Agricultural Production","393","Cauliflowers and broccoli","Brassica oleracea var. botrytis, subvariety cauliflora and cymosa. Includes headed broccoli.","","070410","070410","01213"
"QV","Production: Value of Agricultural Production","108","Cereals nes","Including inter alia: canagua or coaihua (Chenopodium pallidicaule); quihuicha or Inca wheat (Amaranthus caudatus); adlay or Job's tears (Coix lacryma-jobi); wild rice (Zizania aquatica). Other cereal crops that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report cereals under this commodity heading that are classified individually by FAO.","","100890","100890","01199.90"
"QV","Production: Value of Agricultural Production","1717","Cereals, Total","Cereals are generally of the gramineous family and, in the FAO concept, refer to crops harvested for dry grain only. Crops harvested green for forage, silage or grazingare classified as fodder crops. Also excluded are industrial crops, e.g. broom sorghum (Crude organic materials nes) and sweet sorghum when grown for syrup (Sugar crops nes). For international trade classifications, fresh cereals (other than sweet corn), whether or not suitable for use as fresh vegetables, are classified as cereals. Cereals are identified according to their genus. However, when two or more genera are sown and harvested as a mixture they should be classified and reported as ""mixed grains"". Production data are reported in terms of clean, dry weight of grains (12-14 percent moisture) in the form usually marketed. Rice, however, is reported in terms of paddy. Apart from moisture content and inedible substances such as cellulose, cereal grains contain, along with traces of minerals and vitamins, carbohydrates - mainly starches - (comprising 65-75 percent of their total weight), as well as proteins (6-12 percent) and fat (1-5 percent). The FAO definitions cover 17 primary cereals, of which one - white maize - is a component of maize. Each definition is listed along with its code, botanical name or names, and a short description. Cereal products derive either from the processing of grain through one or more mechanical or chemical operations, or from the processing of flour, meal or starch. Each cereal product is listed after the cereal from which it is derived.","","","",""
"QV","Production: Value of Agricultural Production","531","Cherries","Mazzard, sweet cherry (Prunus avium; Cerasus avium); hard-fleshed cherry (var. duracina); heart cherry (var. juliana).","","080920","080929","01344.02"
"QV","Production: Value of Agricultural Production","530","Cherries, sour","Prunus cerasus; Cerasus acida.","","080920","080921","01344.01"
"QV","Production: Value of Agricultural Production","220","Chestnut","Castanea spp.: C. vesca; C. vulgaris; C. sativa. Produced mainly in Europe and Asia.","","080240","080241, 080242","01373"
"QV","Production: Value of Agricultural Production","191","Chick peas","Chickpea, Bengal gram, garbanzos (Cicer arietinum).","","071320","071320","01703"
"QV","Production: Value of Agricultural Production","459","Chicory roots","Horium intybus; C. sativum. Unroasted chicory roots.","","121299","121294","01691"
"QV","Production: Value of Agricultural Production","689","Chillies and peppers, dry","Red and cayenne pepper, paprika, chillies (Capsicum frutescens; C. annuum); allspice, Jamaica pepper (Pimenta officinalis). Uncrushed or unground fresh pimentos are considered to be vegetables.","","090420","090421, 090422","01652"
"QV","Production: Value of Agricultural Production","401","Chillies and peppers, green","Capsicum annuum; C. fructescens; Pimenta officinalis. Production data exclude crops cultivated explicitly as spices. In contrast, trade data include these crops, provided they are fresh, uncrushed and unground.","","070960","070960","01231"
"QV","Production: Value of Agricultural Production","693","Cinnamon (cannella)","Ceylon cinnamon (Cinnamomum zeylanicum); Chinese, common cinnamon, cassia (C. cassia). The inner bark of young branches of certain trees of the Laurus family. Includes cinnamon- tree flowers, cinnamon fruit and cinnamon waste (chips), whether whole, crushed or ground.","","090611, 090619, 090620","090611, 090619, 090620","01655"
"QV","Production: Value of Agricultural Production","698","Cloves","Eugenia caryophyllata; Caryophyllus aromaticus. The whole fruit of the clove tree, including the flowers picked before maturity and dried in the sun, and the stems of the clove flowers.","","090700","090710, 090720","01656"
"QV","Production: Value of Agricultural Production","661","Cocoa, beans","Theobroma cacao. The seeds contained in the fruit of the cacao- tree, including whole or broken, raw or roasted.","","180100","180100","01640"
"QV","Production: Value of Agricultural Production","249","Coconuts","Cocos nucifera Husked coconut. In shell, covered by the endocarp, while exocarp (the smooth outer skin) and mesocarp (the fibrous covering) are removed. Immature nuts contain a milky juice that is consumed as a refreshing drink. Mature nuts are consumed as such, or processed for copra or desiccated coconut. The flesh, from which copra/oil is extracted, constitutes 40-70% of the weight of the husked coconut. The oil content is about 36% of the flesh.","","080119","080112, 080119","01460"
"QV","Production: Value of Agricultural Production","656","Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms.","","090111","090111","01610"
"QV","Production: Value of Agricultural Production","195","Cow peas, dry","Cowpea, blackeye pea/bean (Vigna sinensis; Dolichos sinensis).","","071339","071335","01706"
"QV","Production: Value of Agricultural Production","554","Cranberries","American cranberry (Vaccinium macrocarpon); European cranberry (V. oxycoccus). Trade data may include blueberries, myrtle berries and other fruits of the genus Vaccinium.","","081040","081040","01355.02"
"QV","Production: Value of Agricultural Production","2041","Crops","","","","",""
"QV","Production: Value of Agricultural Production","397","Cucumbers and gherkins","Cucumis sativus.","","070700","070700","01232"
